player_id,Name,Season,WAR,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,OPS,avg_exit_velocity,avg_launch_angle,barrel_pct,hard_hit_pct,avg_WAR_career
25816,Shea Langeliers,2024,2.0,137,534,29,58,80,4,0.224,0.288,0.45,0.739,84.81156156156156,19.7376311844078,,0.0879695672848312,2.0
19290,Randy Arozarena,2024,2.0,154,648,20,77,60,20,0.219,0.332,0.388,0.72,83.38295904887715,15.802371541501977,,0.0689655172413793,2.0
20308,Jake Meyers,2024,2.0,148,513,13,51,61,11,0.219,0.286,0.36,0.646,81.87194928684627,16.201267828843108,,0.0776446065659197,2.0
16578,Yandy Diaz,2024,1.9,145,621,14,55,65,0,0.281,0.341,0.414,0.755,84.55314222712238,16.06387665198238,,0.1002349256068911,1.9
25768,CJ Abrams,2024,1.9,138,602,20,79,65,31,0.246,0.314,0.433,0.747,81.63817966903072,17.061393152302244,,0.0864040660736975,1.9
15112,Ryan McMahon,2024,1.9,153,645,20,68,65,4,0.242,0.325,0.397,0.722,83.14852272727272,17.775,,0.079750346740638,1.9
16997,Gleyber Torres,2024,1.8,154,665,15,80,63,4,0.257,0.33,0.378,0.709,82.8734521575985,21.147279549718576,,0.0666868748105486,1.8
27899,Colt Keith,2024,1.8,148,556,13,54,61,7,0.26,0.309,0.38,0.689,83.32531328320803,17.672932330827066,,0.0788793103448275,1.8
26294,Bryson Stott,2024,1.8,148,571,11,65,57,32,0.245,0.315,0.356,0.671,81.21772300469483,19.7116060961313,,0.0590551181102362,1.8
29622,Sal Frelick,2024,1.6,145,524,2,66,32,18,0.259,0.32,0.335,0.655,79.03453536754508,16.243430152143844,,0.0445522717247463,1.6
27676,Vinnie Pasquantino,2024,1.5,131,554,19,64,97,1,0.262,0.315,0.446,0.76,85.33911060433294,14.711845102505697,,0.1239168110918544,1.5
19913,Jesus Sanchez,2024,1.5,149,537,18,60,64,16,0.252,0.313,0.417,0.731,84.43347050754458,13.746575342465754,,0.1079545454545454,1.5
26323,Spencer Steer,2024,1.5,158,656,20,74,92,25,0.225,0.319,0.402,0.721,82.16123399301513,20.361529548088065,,0.0777981651376146,1.5
22275,Jake Burger,2024,1.4,137,579,29,68,76,1,0.25,0.301,0.46,0.76,85.06906666666667,16.02,,0.1044979554747841,1.4
18373,Ryan Mountcastle,2024,1.4,124,507,13,54,63,3,0.271,0.308,0.425,0.733,83.06028460543338,18.2984496124031,,0.0925553319919517,1.4
16939,Lane Thomas,2024,1.4,130,528,15,65,63,32,0.237,0.309,0.4,0.709,83.30220994475138,19.236914600550964,,0.0788156797331109,1.4
29766,Zack Gelof,2024,1.4,138,547,17,60,49,25,0.211,0.27,0.362,0.632,82.0911811023622,12.535433070866144,,0.0674053554939981,1.4
13590,Jesse Winker,2024,1.3,145,508,14,63,58,14,0.253,0.36,0.405,0.764,82.23278008298756,18.645919778699863,,0.0679569892473118,1.3
18900,Leody Taveras,2024,1.2,151,529,12,59,44,23,0.229,0.289,0.352,0.641,81.31024890190336,18.4780701754386,,0.0667600373482726,1.2
22715,Maikel Garcia,2024,1.2,157,626,7,84,58,37,0.231,0.281,0.332,0.614,84.28728121353559,15.14585764294049,,0.0956728860658991,1.2
14221,Jorge Soler,2024,1.1,142,574,21,84,64,1,0.241,0.338,0.442,0.78,83.84167852062589,17.699857752489333,,0.0793395086588803,1.1
18568,Luis Arraez,2024,1.1,150,672,4,83,46,9,0.314,0.346,0.392,0.739,82.18531645569621,18.36424957841484,,0.0649887302779864,1.1
5235,Justin Turner,2024,1.1,139,539,11,59,55,0,0.259,0.354,0.383,0.737,81.43024553571429,23.75,,0.0614525139664804,1.1
9218,Paul Goldschmidt,2024,1.1,154,654,22,70,65,11,0.245,0.302,0.414,0.716,84.58976793248945,18.93037974683544,,0.093278463648834,1.1
12856,George Springer,2024,1.1,145,614,19,74,56,16,0.22,0.303,0.371,0.674,81.47476076555023,11.854066985645932,,0.0779742765273311,1.1
24262,Ceddanne Rafaela,2024,0.9,152,571,15,70,75,19,0.246,0.274,0.39,0.664,80.71976470588234,16.57176470588235,,0.0789237668161434,0.9
17907,Brendan Rodgers,2024,0.8,135,539,13,67,54,1,0.267,0.314,0.407,0.721,82.62015706806284,12.364229765013055,,0.0868983957219251,0.8
13185,Orlando Arcia,2024,0.8,157,602,17,50,46,2,0.218,0.271,0.354,0.625,82.59619164619166,12.316564417177917,,0.0769860769860769,0.8
33189,Nolan Schanuel,2024,0.7,147,607,13,62,54,10,0.25,0.343,0.362,0.706,80.72204433497538,13.19088669950739,,0.0505091649694501,0.7
27615,Alec Burleson,2024,0.6,152,595,21,71,78,9,0.269,0.314,0.42,0.735,83.15129589632828,15.11853448275862,,0.1026210573078631,0.6
17027,Alex Verdugo,2024,0.6,149,621,13,74,61,2,0.233,0.291,0.356,0.647,82.13668076109937,13.40274841437632,,0.0804169769173492,0.6
9847,Andrew McCutchen,2024,0.5,120,515,20,66,50,3,0.232,0.328,0.411,0.739,82.73274760383387,16.329073482428115,,0.0643015521064301,0.5
11737,Nick Castellanos,2024,0.3,162,659,23,80,86,6,0.254,0.311,0.431,0.742,82.30146290491118,16.13465553235908,,0.0859282617264485,0.3
16472,Rhys Hoskins,2024,0.2,131,517,26,59,82,3,0.214,0.303,0.419,0.722,82.90194902548726,20.54272863568216,,0.0657679738562091,0.2
13145,Josh Bell,2024,-0.1,145,603,19,62,71,0,0.249,0.319,0.405,0.725,82.47118226600986,15.60960591133005,,0.0857740585774058,-0.1
26197,Andrew Vaughn,2024,-0.2,149,619,19,55,70,2,0.246,0.297,0.402,0.699,84.17590643274853,20.42258440046566,,0.0942622950819672,-0.2
19287,Adolis Garcia,2024,-0.2,154,637,25,68,85,11,0.224,0.284,0.4,0.684,84.22132352941178,17.857142857142858,,0.0856816450875856,-0.2
17901,Andrew Benintendi,2024,-0.3,135,522,20,50,64,3,0.229,0.289,0.396,0.685,81.95275035260931,20.839662447257385,,0.0697450697450697,-0.3
17982,Ty France,2024,-0.8,140,535,13,46,51,1,0.234,0.305,0.365,0.67,83.54862385321101,18.009174311926607,,0.0858490566037735,-0.8
21897,Christopher Morel,2024,-1.0,152,611,21,56,60,8,0.196,0.288,0.346,0.634,83.69303338171262,16.156521739130437,,0.0762439807383627,-1.0
19600,Bryan De La Cruz,2024,-1.2,149,622,21,61,68,5,0.233,0.271,0.384,0.654,83.60910151691948,16.96627906976744,,0.0847660935625749,-1.2
