Name,1_WAR,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,OPS,avg_exit_velocity,avg_launch_angle,hard_hit_pct,avg_WAR_career
Aaron Judge,11.3,158,704,58,122,144,10,0.322,0.458,0.701,1.159,87.5968073,22.25085519,0.09601227,6
Bobby Witt Jr.,10.4,161,709,32,125,109,31,0.332,0.389,0.588,0.977,85.50600194,22.76038647,0.109795479,5
Shohei Ohtani,8.9,159,731,54,134,130,59,0.31,0.39,0.646,1.036,86.46082474,18.48300721,0.107021342,6
Juan Soto,8.2,157,713,41,128,109,7,0.288,0.419,0.569,0.989,87.3900641,14.07036247,0.099149311,5
Gunnar Henderson,7.9,159,719,37,118,92,21,0.281,0.364,0.529,0.893,84.97279652,13.95444685,0.098208361,4
Francisco Lindor,7.8,152,689,33,107,91,29,0.273,0.344,0.5,0.844,85.69801265,19.1897019,0.107677604,5
Jarren Duran,6.9,160,735,21,111,75,34,0.285,0.342,0.492,0.834,83.033,16.15469062,0.085365854,3
Jose Ramirez,6.5,158,682,39,114,118,41,0.279,0.335,0.537,0.872,84.70887166,21.80911436,0.119047619,5
Elly De La Cruz,6.5,160,696,25,105,76,67,0.259,0.339,0.471,0.809,84.11685083,13.815427,0.071028691,4
Ketel Marte,6.3,136,583,36,93,95,7,0.292,0.372,0.56,0.932,86.47246022,14.33455433,0.122164049,4
William Contreras,5.5,155,679,23,99,92,9,0.281,0.365,0.466,0.831,85.86993007,11.38882421,0.092740535,6
Matt Chapman,5.5,154,647,27,98,78,15,0.247,0.328,0.463,0.79,84.5965035,22.09617613,0.087081684,5
Cal Raleigh,5.5,153,628,34,73,100,6,0.22,0.312,0.436,0.748,84.6706235,22.41007194,0.094651789,5
Vladimir Guerrero Jr.,5.3,159,697,30,98,103,2,0.323,0.396,0.544,0.94,86.0803681,13.44795918,0.116313094,5
Jackson Merrill,5.3,156,593,24,77,90,16,0.292,0.326,0.5,0.826,83.08792757,19.36317907,0.106409719,5
Yordan Alvarez,5.2,147,635,35,88,86,6,0.308,0.392,0.567,0.959,85.42450867,22.10289017,0.114060556,3
Brent Rooker,5.1,145,614,39,82,112,11,0.293,0.365,0.562,0.927,84.01255007,20.53938585,0.086330935,4
Bryce Harper,5.1,145,631,30,85,87,7,0.285,0.373,0.525,0.898,83.61172708,17.46439957,0.092169352,4
Willy Adames,4.9,161,688,32,93,112,21,0.251,0.331,0.462,0.794,83.07067834,22.30634573,0.072154472,3
Marcell Ozuna,4.7,162,688,39,96,104,1,0.302,0.378,0.546,0.925,85.01079865,18.60942761,0.09209645,3
Corey Seager,4.6,123,533,30,68,74,1,0.278,0.353,0.512,0.864,84.64876712,18.96438356,0.114467409,4
Mookie Betts,4.3,116,516,19,75,75,16,0.289,0.372,0.491,0.863,83.65446429,23.82397959,0.081692501,5
Jurickson Profar,4.3,158,668,24,94,85,10,0.28,0.38,0.459,0.839,84.28045187,17.43964671,0.092694693,2
Rafael Devers,4.2,138,601,28,87,83,3,0.272,0.354,0.516,0.871,85.41916244,19.62436548,0.096076861,4
Steven Kwan,4.2,122,540,14,83,44,12,0.292,0.368,0.425,0.793,81.1573494,20.89530686,0.053767821,4
Corbin Carroll,4.2,158,684,22,121,74,35,0.231,0.322,0.428,0.749,83.19504132,15.375,0.081312411,5
Dansby Swanson,4.2,149,593,16,82,66,19,0.242,0.312,0.39,0.701,83.17652399,13.24383917,0.073641851,3
Marcus Semien,4.2,159,718,23,101,74,8,0.237,0.308,0.391,0.699,82.43531187,19.16365462,0.084,4
Alex Bregman,4.1,145,634,26,79,75,3,0.26,0.315,0.453,0.768,83.90744337,22.36598493,0.099725167,5
Riley Greene,4,137,584,24,82,74,4,0.262,0.348,0.479,0.827,83.29162562,16.0726601,0.07754502,4
Jackson Chourio,4,148,573,21,80,79,22,0.275,0.327,0.464,0.791,84.19536785,14.05306122,0.092008639,4
Jazz Chisholm Jr.,4,147,621,24,74,73,40,0.256,0.324,0.436,0.76,83.13199079,13.28078251,0.077700348,3
Julio Rodriguez,4,143,613,20,76,68,24,0.273,0.325,0.409,0.734,84.27630952,15.90725327,0.094263939,4
Freddie Freeman,3.9,147,638,22,81,89,9,0.282,0.378,0.476,0.854,83.21513983,17.40904716,0.091749644,4
Jose Altuve,3.9,153,682,20,94,65,22,0.295,0.35,0.439,0.79,80.94414894,14.57643312,0.073341094,4
Colton Cowser,3.9,153,561,24,77,69,9,0.242,0.321,0.447,0.768,83.74220315,17.53285714,0.069710558,4
Nico Hoerner,3.9,151,641,7,86,48,31,0.273,0.335,0.373,0.708,80.87367865,16.12038015,0.062222222,4
